题目内容,题目选项A,题目选项B,题目选项C,题目选项D,题目答案,类型,分值,难度,赛题分类（技术领域）,,,,,,
以下关于关键信息基础设施的运营者违反本法第三十五条规定，使用未经安全审查或者安全审查未通过的网络产品或者服务的，处采购金额（）罚款，说法错误的是,一倍以上二倍以下,一倍以上十倍以下,一倍以上五倍以下,一倍以上五十倍以下,2,单选,3,2,法律法规,,,,,,
关键信息基础设施的运营者违反本法第三十七条规定，在境外存储网络数据，或者向境外提供网络数据的对直接负责的主管人员和其他直接责任人员处（）罚款,一万元以上十万元以下,两万元以上十万元以下,五万元以上十万元以下,五千元以上十万元以下,1,单选,3,2,法律法规,,,,,,
关键信息基础设施的运营者在中华人民共和国境内运营中收集和产生的个人信息和重要数据应当在（）存储,境内,境外,省内,省外,1,单选,3,2,法律法规,,,,,,
互联单位、接入单位、使用计算机信息网络国际联网的法人和其他组织(包括跨省、自治区、直辖市联网的单位和所属的分支机构)，应当到所在地的省、自治区、直辖市人民政府公安机关指定的受理机关办理备案手续。前款所列单位应当负责将接入本网络的接入单位和用户情况报（），并及时报告本网络中接入单位和用户的变更情况。,所在地的省、自治区、直辖市人民政府公安机关指定的受理机关备案,当地公安机关备案,公安部备案,当地检察院备案,2,单选,3,2,法律法规,,,,,,
根据《中华人民共和国计算机信息网络国际联网管理暂行规定》规定，未接入互联网络进行国际联网的，由公安机关责令停止联网，给予警告，可以并处（）的罚款。,五千元以下的罚款,一万元元以下罚款,一万五千元以下罚款,十万元以下罚款,3,单选,3,2,法律法规,,,,,,
互联单位、接入单位、使用计算机信息网络国际联网的法人和其他组织，应当自网络正式联通之日起（ ）内，到所在地的省、自治区、直辖市人民政府公安机关指定的受理机关办理,三十日、域名备案,三十日、备案手续,四十日、网络入户手续,六十日、备案手续,2,单选,3,2,法律法规,,,,,,
对从事国际联网经营活动的接入单位实行国际联网经营（ ）制度,管理,许可证,相关,范围,2,单选,3,2,法律法规,,,,,,
接入单位拟从事国际联网经营活动的，应当向有权受理从事国际联网经营活动申请的互联单位主管部门或者主管单位申请领取（ ）,国际联网通行证,国际联网经营许可证,联网接入证,国际准入证,2,单选,3,2,法律法规,,,,,,
经营性接入单位凭经营许可证到（ ）办理登记注册手续，向提供电信服务的企业办理所需通信线路手续,电信服务厅,国家工商行政管理机关,国家信息管理中心,国务院信息化工作领导小组,2,单选,3,2,法律法规,,,,,,
经营许可证的格式由（   ）统一制定,网信部,国家网络安全中心,国家信息管理中心,国务院信息化工作领导小组,4,单选,3,2,法律法规,,,,,,
经营许可证由（ ）部门颁发。,经营性互联单位主管部门,网监,公安部,国家经营管理部门,1,单选,3,2,法律法规,,,,,,
提供电信服务的企业应当在（ ）个工作日内为接入单位提供通信线路和相关服务,45,60,30,15,3,单选,3,2,法律法规,,,,,,
未领取（  ）则从事国际联网经营活动的，由 公安机关基于警告，限期办理相关证件,国际联网经营许可证,国际网络接入许可证,网络备案,服务商许可证,1,单选,3,2,法律法规,,,,,,
提供主机托管、租赁和虚拟空间租用等服务的 单位又被称为提供（   ）的单位,互联网数据中心服务,网络服务,数据服务,互联网服务,1,单选,3,2,法律法规,,,,,,
从事国际联网经营活动的的跨省(区)、市经营 的接入单位应当向（）申请领取国际联网经营 许可证。,公安机关,网信部门,国务院信息化工作领导小组,经营性互联单位主管部门,4,单选,3,2,法律法规,,,,,,
国际联网经营活动经营许可证由经营性互联单位主管部门颁发，报国务院信息化工作领导小组办公室备案。互联单位主管部门对经营性接入单位实行（）制度。,签到,年检,登记,验收,2,单选,3,2,法律法规,,,,,,
未建立安全保护管理制度的由公安机关责令限期改正，给予警告，有违法所得的，没收违法所得；在规定的限期内未改正的，对单位的主管负责人员和其他直接责任人员并处五千元以下的罚款，对单位可以并处（）。,五千元以下的罚款,一万五千元以下罚款,三万元以下的罚款,十万元以下罚款,2,单选,3,2,法律法规,,,,,,
国家对互联网上网服务营业场所经营单位的经营活动实行许可制度。未经许可，任何（）不得从事互联网上网服务经营活动,组织和个人,单位,公司,部门,1,单选,3,2,法律法规,,,,,,
以下关于互联网上网服务营业场所经营单位违 反本条例的规定说法错误的是,向上网消费者提供的计算机未通过局域网的方式接入互联网的,未建立场内巡查制度，或者发现上网消费者的违法行为未予制止并向文化行政部门、公安机关举报的,私自挪用公款,未按规定核对、登记上网消费者的有效身份证件或者记录有关上网信息的,3,单选,3,2,法律法规,,,,,,
互联网上网服务营业场所的最低营业面积、计算机等装置及附属设备数量、单机面积的标准，由国务院（ ）规定,行政部门,执法部门,法律部门,文化行政部门,4,单选,3,2,法律法规,,,,,,
互联网上网服务营业场所经营单位应当对上网消费者的身份证等有效证件进行核对、登记，并记录有关上网信息。登记内容和记录备份保存时间不得少于（）日,30,90,60,7,3,单选,3,2,法律法规,,,,,,
互联网上网服务营业场所经营单位和上网消费 者不得利用互联网上网服务营业场所制作、下 载、复制、查阅、发布、传播或者以其他方式 使用含有下列内容的信息的说法错误的是,反对宪法确定的基本原则的,危害国家统一、主权和领土完整的,泄露国家秘密，危害国家安全或者损害国家荣誉和利益的,挪用公款,4,单选,3,2,法律法规,,,,,,
互联网视听节目服务单位提供的、网络运营单位接入的视听节目应当符合法律、行政法规、部门规章的规定。已播出的视听节目应至少完整保留（）日,30,60,90,180,2,单选,3,2,法律法规,,,,,,
互联网上网服务营业场所经营单位应当依法履行（）、治安和消防安全职责,信息网络安全,信息安全,信息系统安全,网络安全,1,单选,3,2,法律法规,,,,,,
单位和个人自行建立或者使用其他通道进行国 际联网的，处（）。,警告，可以并处15000元以下罚款,警告，应当并处15000元以下罚款,行政拘留，并处1500元以下罚款,单处1500元以下罚款,1,单选,3,2,法律法规,,,,,,
计算机信息网络直接进行国际联网，必须使用（）提供的国际出入口信道。,邮电部国家公用电信网,国家网信部,中国电信部门,外交部,1,单选,3,2,法律法规,,,,,,
下列哪些信息不允许单位和个人利用国际联网 制作、复制、查阅和传播（）。,煽动抗拒、破坏宪法和法律、行政法规实施的,山东颠覆国家政权，推翻社会主义制度的,煽动分裂国家、破坏国家统一的,以上均是,4,单选,3,2,法律法规,,,,,,
下列哪些情形不适用电子签名（）。,涉及婚姻的,涉及收养、继承等身份关系的,涉及土地、房屋等不动产权益转让的,以上均不适用,4,单选,3,2,法律法规,,,,,,
根据《发布微博、微信等网络社交平台传播视听节目的管理规定》，利用微博、微信等各类社交应用开展互联网视听节目服务的网络平台，应当取得,《信息网络传播视听节目许可证》,《电影片公映许可证》,《电视剧发行许可证》,《电影或电视剧发行许可证》,1,单选,3,2,法律法规,,,,,,
下列哪些属于个人信息？,姓名,出生日期,身份证件号码,以上均属于,4,单选,3,2,法律法规,,,,,,
提供计算机病毒等破坏性程序十人次以上的，属于（         ）,情节严重,情节特别严重,后果严重,一般事件,3,单选,3,2,法律法规,,,,,,
提供能够用于非法获取支付结算、证券交易、期货交易等网络金融服务身份认证信息的专门性程序、工具五人次以上的；属于（         ）,情节严重,情节特别严重,后果严重,一般事件,1,单选,3,2,法律法规,,,,,,
根据《关于办理诈骗刑事案件具体应用法律若干问题的解释》第一条，诈骗公私财物价值（）为“数额较大”,三千元至一万元以上,三万元至十万元以上,五十万元以上,一百万元以上,1,单选,3,2,法律法规,,,,,,
根据《关于办理诈骗刑事案件具体应用法律若干问题的解释》第一条，诈骗公私财物价值（）为“数额巨大”,三千元至一万元以上,三万元至十万元以上,五十万元以上,一百万元以上,2,单选,3,2,法律法规,,,,,,
根据《关于办理诈骗刑事案件具体应用法律若干问题的解释》第一条，诈骗公私财物价值（）为“数额特别巨大”,三千元至一万元以上,三万元至十万元以上,五十万元以上,一百万元以上,3,单选,3,2,法律法规,,,,,,
由人民法院指定举证期限的，指定的期限不得少于（               ），自当事人收到案件受理通知书和应诉通知书的次日起计算。,十五日,三十日,六十日,九十日,2,单选,3,2,法律法规,,,,,,
违反《关于全国人民代表大会常务委员会关于加强网络信息保护的决定》，可能要承担的责任有哪些？,民事责任,行政责任,刑事责任,以上三种责任都可能承担,4,单选,3,2,法律法规,,,,,,
《关于审理侵害信息网络传播权民事纠纷案件适用法律若干问题的规定》是哪个部门发布的？,北京市高级人民法院,最高人民检察院,最高人民法院,以上部门联合发布,3,单选,3,2,法律法规,,,,,,
利用微博、微信等各类社交应用开展互联网视听节目服务的网络平台，应当取得（）等法律法规规定的相关资质，并严格在许可证载明的业务范围开展业务。,《互联网经营许可证》,《文化传播经营许可证》,《信息网络传播视听节目许可证》,非经营性互联网信息服务备案手续,3,单选,3,2,法律法规,,,,,,
根据《计算机信息网络国际联网安全保护管理 办法》，互联单位、接入单位及使用计算机信 息网络国际联网的法人和其他组织应当履行下 列安全保护职责不正确(          ),负责本网络的安全保护管理工作，建立健全安全保护管理制度；,对委托发布信息的单位和个人进行登记，并对所提供的信息内容按照本办法第五条进行审核,不对委托发布信息的单位和个人进行登记,负责对本网络用户的安全教育和培训,3,单选,3,2,法律法规,,,,,,
根据《计算机信息网络国际联网安全保护管理办法》，涉及国家事务、经济建设、国防建设、尖端科学技术等重要领域的单位办理备案手续时，应当其(          )出具审批证明。,行业机构,行政主管部门,政府部门,业内共同体,2,单选,3,2,法律法规,,,,,,
根据《计算机信息网络国际联网安全保护管理办法国际联网安全保护管理办法》，从事国际联网业务的单位和个人应当接受公安机关的安全监督、(            )，如实向公安机关提供有关安全保护的信息、资料及数据文件，协助公安机关查处通过国际联网的计算机信息网络的违,监管,检查和指导,指导,检查,2,单选,3,2,法律法规,,,,,,
根据《计算机信息网络国际联网安全保护管理办法》，公安机关计算机管理监察机构发现含有本办法第五条所列内容的地址、目录或者服务器时，应当通知有关单位(         )。,查封,关闭或者删除,破坏,物理销毁,2,单选,3,2,法律法规,,,,,,
根据《计算机信息网络国际联网安全保护管理办法》，公安机关计算机管理监察机构应当掌握互联单位、(         )的备案情况，建立备案档案，进行备案统计，并按照国家有关规定逐,监管单位,行业部门,接入单位和用户,用户,3,单选,3,2,法律法规,,,,,,
反法律、行政法规，有《计算机信息网络国际联网安全保护管理办法》第五条、第六条所列行为之一的，由公安机关给予警告，有违法所得的，没收违法所得，对个人可以并处()元以下的罚款，对单位可以并处(          )元以下的罚款；情节严重的，并可以给予6个月以内停止联网、停机整顿的处罚，必要时可以建议原发证、审批机构吊销经营许可证或者取消联网资格；构成违反治安管理行为的，依照治安管理处罚法的规定处罚；构成犯罪的，依法,1万、1.8万,5000、1.5万,2万、4万,5000、2万,2,单选,3,2,法律法规,,,,,,
违反《计算机信息网络国际联网安全保护管理办法》第十一条、第十二条规定，不履行备案职责的，由公安机关给予警告或者停机整顿不超过(            )个月的处罚,3,6,4,8,2,单选,3,2,法律法规,,,,,,
《国际联网安全保护管理办法》于(          )起施行,1996年12月30日,1997年12月30日,1998年12月30日,1999年12月30日,2,单选,3,2,法律法规,,,,,,
《中华人民共和国计算机信息网络国际联网管理暂行规定实施办法》于(          )施行。,1998年3月1日,1999年3月11日,1998年3月12日,1998年3月13日,4,单选,3,2,法律法规,,,,,,
从事国际联网经营活动的接入单位（以下简称经营性接入单位）实行国际联网经营许可证（以下简称经营许可证）制度。经营许可证的格式(          )由统一制定。,地方机构,行业协会,国务院信息化工作领导小组,国家备案的安全公司,3,单选,3,2,法律法规,,,,,,
国家对国际联网的建设布局、资源利用进行统筹规划。国际联网采用国家统一制定的技术标准、安全标准、资费政策，以利于提高服务质量和水平。国际联网实行分级管理，即：对互联单位、(           )、用户实行逐级管理，对国际出入口信道统一管理。国家鼓励在国际联网服务中公平、有序地竞争，提倡资源共享，促,管理单位,接入单位,持有单位,应用单位,2,单选,3,2,法律法规,,,,,,
互联单位应当与接入单位签订协议，加强对本网络和接入网络的管理；负责接入单位有关国际联网的技术培训和管理教育工作；为接入单位提供公平、优质、(         )的服务；按照国家有关规定向接入单位收取联网接入费用。,运维,维护,安全,技术,3,单选,3,2,法律法规,,,,,,
违反《中华人民共和国计算机信息网络国际联网管理暂行规定》第七条和第十条第一款规定的，由公安机关责令停止联网，可以并处（）元以下罚款；有违法所得的，没收违法所得,10000,30000,20000,15000,4,单选,3,2,法律法规,,,,,,
每年的几月几日为全民国家安全教育日？,2月15日,4月6日,4月15日,4月16日,3,单选,3,2,法律法规,,,,,,
（）负责全国跟帖评论服务的监督管理执法工 作,省互联网信息办公室,国家互联网信息办公室,自治区互联网信息办公室,直辖市互联网信息办公室,2,单选,3,2,法律法规,,,,,,
（）负责全国互联网论坛社区服务的监督管理 执法工作,国家互联网信息办公室,省互联网信息办公室,自治区互联网信息办公室,直辖市互联网信息办公室,1,单选,3,2,法律法规,,,,,,
腾讯微信团队对“新世相”、“咪蒙”等微信公众账号的留言、跟帖、评论进行监督管理时，应当遵循以下哪项原则（）。,统一规范管理,分级分类管理,分类指导，分级管理,谁提供，谁负责,4,单选,3,2,法律法规,,,,,,
购买民用枪支、弹药应当持有省级或者设区的 市级人民政府公安机关核发的,《民用爆炸物品生产许可证》,《民用枪支（弹药）配购证》,《危险品安全持有许可证》,《民用枪支（弹药）制造许可证》,2,单选,3,2,法律法规,,,,,,
危险物品从业单位依法取得（）或者办理非经 营性互联网信息服务备案手续后，可以在本单 位网站发布危险物品信息。,互联网信息服务增值电信业务经营许可,互联网经营许可证,危险品经营许可证,以上均需要,1,单选,3,2,法律法规,,,,,,
从业人员应当按要求参加国家和省、自治区、直辖市互联网信息办公室组织开展的教育培训，按照规定每三年不少于（         ）个学时,35,40,45,50,2,单选,3,2,法律法规,,,,,,
互联网新闻信息服务单位对从业人员管理不力，造成严重后果，导致其不再符合许可条件的，由国家和地方互联网信息办公室依据《互联网新闻信息服务管理规定》第（         ）条有关规定予以处理。,二十,二十三,二十四,二十七,2,单选,3,2,法律法规,,,,,,
《互联网新闻信息服务单位约谈工作规定》所称约谈，是指国家互联网信息办公室、地方互联网信息办公室在互联网新闻信息服务单位发生（）情形时，约见其相关负责人，进行警示谈话、指出问题、责令整改纠正的行政行为。,轻微违规,严重违规,违法违规,严重违法违规,4,单选,3,2,法律法规,,,,,,
根据《互联网新闻信息服务单位约谈工作规定》，国家互联网信息办公室、地方互联网信息办公室实施约谈时，应当由（         ）以上执法人员参加，主动出示证件，并记录约谈情况,两名,三名,五名,七名,1,单选,3,2,法律法规,,,,,,
地方互联网信息办公室负责对本行政区域内的互联网新闻信息服务单位实施约谈，约谈情况应当及时向（）报告。,国家网信部门,国家电信部门,国家安全机关,国家互联网信息办公室,4,单选,3,2,法律法规,,,,,,
申请互联网新闻信息采编发布服务许可的，应 当是（          ）。,新闻单位（含其控股的单位）或新闻宣传部门主管的单位。,新闻单位（不含其控股的单位）或新闻宣传部门主管的单位。,新闻单位（不含其控股的单位）。,新闻单位或新闻宣传部门主管的单位。,1,单选,3,2,法律法规,,,,,,
互联网新闻信息服务提供者对用户身份信息和 日志信息负有保密的义务，不得（          ）。,泄露、篡改、毁损，不得出售或非法向他人提供。,泄露、毁损，不得非法向他人提供。,出售或非法向他人提供。,泄露、篡改、毁损。,1,单选,3,2,法律法规,,,,,,
违反《互联网新闻信息服务管理规定》第五条规定，未经许可或超越许可范围开展互联网新闻信息服务活动的，由国家和省、自治区、直辖市互联网信息办公室依据职责责令停止相关服务活动，处（           ）罚款。,五千元以上一万元以下,一万元以上三万元以下,二万元以上三万元以下,三万元以上五万元以下,2,单选,3,2,法律法规,,,,,,
由国家和地方互联网信息办公室依据职责给予警告，责令限期改正；情节严重或拒不改正的，暂停新闻信息更新，处（         ）罚款。,五千元以上一万元以下,一万元以上三万元以下,二万元以上三万元以下,三万元以上五万元以下,3,单选,3,2,法律法规,,,,,,
互联网新闻信息服务提供者终止服务的，应当自终止服务之日起（）日内向原许可机关办理注销手续,十,三十,六十,九十,2,单选,3,2,法律法规,,,,,,
互联网信息服务提供者应当在其网站主页的显著位置标明其（）编号或者备案编号。,ICP证书,ICP备案,经营许可证,网安备案,3,单选,3,2,法律法规,,,,,,
互联网文化单位不得提供载有以下哪些内容的 文化产品（）。,反对宪法确定的基本原则的,危害国家统一、主权和领土完整的,泄露国家秘密、危害国家安全或者损害国家荣誉和利益的,以上均是,4,单选,3,2,法律法规,,,,,,
互联网信息内容管理部门作出吊销互联网新闻信息服务许可证、较大数额罚款等行政处罚决定之前，应当告知当事人有要求举行听证的权利。当事人要求听证的，应当在被告知后（）日内提出。,2,3,4,5,2,单选,3,2,法律法规,,,,,,
互联网信息搜索服务提供者提供付费搜索信息服务，应当依法查验客户有关资质，明确付费搜索信息页面比例上限，（         ）自然搜索结果与付费搜索信息，对付费搜索信息逐条加注显著标识。,自然排列,醒目区分,模糊处理,顺序排列,2,单选,3,2,法律法规,,,,,,
（）负责全国互联网信息搜索服务的监督管理 执法工作。,国家网信部,国家电信部门,国务院互联网信息办公室,国家互联网信息办公室,4,单选,3,2,法律法规,,,,,,
互联网用户公众账号信息服务提供者应当记录互联网用户公众账号信息服务使用者发布内容和日志信息，并按规定留存不少于（          ）,三个月,六个月,一年,二年,2,单选,3,2,法律法规,,,,,,
2016年4月13日，百度、新浪、搜狐等20余家直播平台共同发布（），承诺网络直播房间必须标识水印；内容存储时间不少于15天备查；所有主播必须实名认证；对于播出涉政、涉枪、涉毒、涉暴、涉黄内容的主播，情节严重的将列入黑名单；审核人员对平台上的直播内容进行24小时实时监管。,《互联网信息服务管理办法》,《中国网络直播行业公约》,《北京网络直播行业自律公约》,《互联网直播服务管理规定》,3,单选,3,2,法律法规,,,,,,
为了保护网络信息安全，保障公民、法人和其 他组织的合法权益，维护国家安全和社会公共 利益，2012年12月28日第十一届全国人民代表 大会常务委员会第三十次会议通过了（）。,《中华人民共和国网络安全法》,《中华人民共和国宪法》,《中华人民共和国个人信息法》,《全国人民代表大会常务委员会关于加强网络信息保护的决定》,4,单选,3,2,法律法规,,,,,,
网络游戏运营企业应当按照国家规定采取技术和管理措施保证网络信息安全。包括防范计算机病毒入侵和共计破坏，备份重要数据库，保存用户注册信息、运营信息、维护日志等信息，依法保护（）。,国家秘密,商业秘密,用户个人信息,以上均是,4,单选,3,2,法律法规,,,,,,
微博客服务提供者应当遵守国家相关法律法规规定，配合有关部门开展监督管理执法工作，并提供（         ）的技术支持和协助。,有效,及时,按时,必要,4,单选,3,2,法律法规,,,,,,
微博客服务提供者应当记录微博客服务使用者日志信息，保存时间不少于（         ）。,六个月,八个月,三个月,一年,1,单选,3,2,法律法规,,,,,,
微博客服务提供者应当按照（         ）的原则，对微博客服务使用者进行基于组织机构代码、身份证件号码、移动电话号码等方式的真实身份信息认证、定期核验。微博客服务使用者不提供真实身份信息的，微博客服务提供者不得为其提供信息发布服务。,“后台实名、前台自愿”,“后台自愿、前台实名”,“后台实名、前台实名”,“后台自愿、前台自愿”,1,单选,3,2,法律法规,,,,,,
微博客服务提供者应当对申请前台实名认证账号的微博客服务使用者进行认证信息审核，并按照注册地向国家或省、自治区、直辖市互联网信息办公室分类备案。微博客服务使用者提供的证明材料与认证信息不相符的，微博客服务提供者不得为其提供（）。,前台实名认证服务,后台实名认证服务,前、后台实名认证服务,实名认证服务,1,单选,3,2,法律法规,,,,,,
处理超过（）人的个人信息时，应设立专职的个人信息保护负责人和个人信息保护工作机构，负责个人信息安全工作：,70,50,20,100,2,单选,3,2,法律法规,,,,,,
在（）个月内预计处理超过50万人的个人信息时，应设立专职的个人信息保护负责人和个人信息保护工作机构，负责个人信息安全工作：,24,6,13,12,4,单选,3,2,法律法规,,,,,,
在12个月内预计处理超过（）人的个人信息时，应设立专职的个人信息保护负责人和个人信息保护工作机构，负责个人信息安全工作：,70,50,20,100,2,单选,3,2,法律法规,,,,,,
主要业务涉及个人信息处理，且从业人员规模大于（）人时，应设立专职的个人信息保护负责人和个人信息保护工作机构，负责个人信息安全工作：,150,100,200,300,3,单选,3,2,法律法规,,,,,,
（）岁以下儿童信息属于敏感信息？,12,13,14,16,3,单选,3,2,法律法规,,,,,,
下列哪项不是个人信息安全基本原则（）：,权责一致原则,目的明确原则,选择同意原则,信息完整原则,4,单选,3,2,法律法规,,,,,,
不使用公共WIFI进行支付操作，是因为什么,存在个人信息泄露的风险,公共无线网速慢,公共无线连接复杂,公共无线易断开,1,单选,3,2,法律法规,,,,,,
关于收集个人信息的合法性要求，下列说法正 确的是（）：,不得欺诈、诱骗、强迫个人信息主体提供其个人信息,隐瞒产品或服务所具有的收集个人信息的功能,从非法渠道获取个人信息,收集法律法规明令禁止收集的个人信息,1,单选,3,2,法律法规,,,,,,
为了确保电子邮件中邮件内容的安全，个人信 息收集者收集应该采用以下哪种方式比较恰当,电子邮件发送时要加密，并注意不要错发,电子邮件不需要加密码,只要向接收者正常发送就可以了,使用移动终端发送邮件,1,单选,3,2,法律法规,,,,,,
收集个人信息是否需要得到信息所有者授权,是,否,都可以,,1,单选,3,2,法律法规,,,,,,
"下列有关隐私权的表述,错误的是（）","网络时代,隐私权的保护受到较大冲击","虽然网络世界不同于现实世界,但也需要保护个人隐私","由于网络是虚拟世界,所以在网上不需要保护个人的隐",可以借助法律来保护网络隐私权,3,单选,3,2,法律法规,,,,,,
"下列有关隐私权的表述,错误的是（）：","网络时代,隐私权的保护受到较大冲击","虽然网络世界不同于现实世界,但也需要保护个人隐私","由于网络是虚拟世界,所以在网上不需要保护个人的隐",可以借助法律来保护网络隐私权,3,单选,3,2,法律法规,,,,,,
收集年满（）岁的未成年人的个人信息前，应征得未成年人或其监护人的明示同意,12,13,14,15,3,单选,3,2,法律法规,,,,,,
关于隐私政策的内容和发布，对个人信息控制 者的要求包括（）：,隐私政策不必逐一送达个人信息主体,隐私政策应公开发布且不易于访问,隐私政策所告知的信息应部分真实,个人信息控制者应制定隐私政策,4,单选,3,2,法律法规,,,,,,
"在计算机网络高速发展的今天,少数人出于好奇,经常在网上窃取他人的个人信息。这种行为侵犯了公民的()",荣誉权,名誉权,姓名权,隐私权,4,单选,3,2,法律法规,,,,,,
超出上述个人信息保存期限后，个人信息控制 者应（）：,告知信息主体,申请延期,应对个人信息进行删除或匿名化处理,公布个人信息,3,单选,3,2,法律法规,,,,,,
传输和存储个人敏感信息时，下列做法不正确 的是（）：,明文传输,加密传输,对个人信息进行去标识化,对个人信息进行匿名化,1,单选,3,2,法律法规,,,,,,
传输和存储个人敏感信息时， 应采用（）安全措施,备份,加密,脱敏,不需采取措施,2,单选,3,2,法律法规,,,,,,
一般情况下，在验证个人信息主体身份后，应在（）内或法律法规规定的期限内做出答复及合理解释。,20天,40天,30天,10个工作日,3,单选,3,2,法律法规,,,,,,
以下哪种情况不可不响应个人信息主体的请求（）：,业务忙碌时,与国家安全、国防安全直接相关的,涉及商业秘密的,与犯罪侦查、起诉、审判和执行判决等直接相关的,1,单选,3,2,法律法规,,,,,,
个人信息控制者应建立申诉管理机制，包括跟踪流程，并在（）内，对申诉进行响应：,20天,40天,30天,合理的时间,4,单选,3,2,法律法规,,,,,,
针对个人信息访问，下列做法不正确的是（）：,个人信息控制者应向个人信息主体提供其所持有的关于该主体的个人信息或类型,个人信息控制者应向个人信息主体提供该主体的个人信息的来源、所用于的目的,个人信息控制者应向个人信息主体提供已经获得的该主体的个人信息的第三方身份或类型,个人信息控制者应向他人提供其所持有的所有个人信息或类型,4,单选,3,2,法律法规,,,,,,
个人信息主体发现个人信息控制者所持有的该 主体的个人信息有错误或不完整时，个人信息 控制者应（）：,不予理会,应为其提供请求更正或补充信息的方法,予以赔偿,删除该条个人信息,2,单选,3,2,法律法规,,,,,,
符合以下哪种情形时，个人信息主体要求删除 的，应及时删除个人信息（）：,个人信息控制者违反法律法规规定，收集、使用个人信息,个人信息主体怀疑个人信息控制着非法使用其个人信息时,个人信息主体未从个人信息控制者获得好处时,个人信息主体通过新闻发现个人信息控制者被黑客攻击时,1,单选,3,2,法律法规,,,,,,
U盘里有重要资料，同事临时借用，如何做更 安全?,同事使用U盘的过程中，全程查看,将U盘中的文件加密之后，然后再借给同事,删除文件之后再借,同事关系较好可以借用,2,单选,3,2,法律法规,,,,,,
对于人肉搜索，应持有什么样的态度?,不转发，不参与,积极转发,主动参加,关注进程,1,单选,3,2,法律法规,,,,,,
李同学浏览网页时弹出“新版游戏，免费玩， 点击就送大礼包”的广告，李同学点了之后发 现是个网页游戏，提示：“请安装插件”，请 问，这种情况李同学应该怎么办最合适?,先将操作系统做备份，如果安装插件之后有异常，大不了恢复系统,为了领取大礼包，安装插件之后玩游戏,询问朋友是否玩过这个游戏，朋友如果说玩过，那应该没事,网页游戏可能在未授权下收集个人信息，不能打开,4,单选,3,2,法律法规,,,,,,
关于收购、兼并、重组时的个人信息转让，下 列说法不正确的是（）：,个人信息控制者应向个人信息主体告知有关情况；,变更后的个人信息控制者应继续履行原个人信息控制者的责任和义务,个人信息控制者不必告知个人信息主体,如变更个人信息使用目的时，应重新取得个人信息主体的明示同意。,3,单选,3,2,法律法规,,,,,,
关于个人信息公开披露，下列说法不正确的是（）：,个人信息控制者应事先开展个人信息安全影响评估,个人信息控制者应向个人信息主体告知公开披露个人信息的目的、类型，并事先征得个人信息主体明示同意,个人信息控制者可以公开披露个人生物识别信息,个人信息控制者需要承担因公开披露个人信息对个人信息主体合法权益造成损害的相应责任,3,单选,3,2,法律法规,,,,,,
以下哪种情形中，个人信息控制者共享、转让、公开披露个人信息需事先征得个人信息主体的授权同意（）：,与国家安全、国防安全直接相关的,与公共安全、公共卫生、重大公共利益直接相关的,与犯罪侦查、起诉、审判和判决执行等直接相关的；,与科学研究相关的,4,单选,3,2,法律法规,,,,,,
在中华人民共和国境内运营中收集和产生的个人信息向境外提供的，个人信息控制者应当按照（）会同国务院有关部门制定的办法和相关标准进行安全评估，并符合其要求：,国家网信部门,中国信息安全测评中心,工信部,国家网络安全应急响应中心,1,单选,3,2,法律法规,,,,,,
应至少（）组织内部相关人员进行应急响应培训和应急演练， 使 其掌握岗位职责和应急处置策略和规程,每半年一次,每年一次,每三年一次,每五年一次,2,单选,3,2,法律法规,,,,,,
发生个人信息安全事件后，个人信息控制者应 根据（）的有关规定及时上报：,《国家网络安全事件应急预案》,《个人信息安全规范》,《国家网络安全事件应急响应预案》,《网络安全法》,1,单选,3,2,法律法规,,,,,,
安全事件告知内容，下列说法不正确的是（）：,安全事件的内容和影响,针对个人信息主体提供的补救措施,个人信息保护负责人和个人信息保护工作机构的联系方式,泄露的个人信息清单,4,单选,3,2,法律法规,,,,,,
故意制作、传播计算机病毒等破坏性程序，影 响计算机系统正常运行，后果严重的，以（） 罪论处。,破坏计算机系统罪,非法侵入计算机系统罪,网络服务渎职罪,非法获取计算机信息系统数据罪,1,单选,3,2,法律法规,,,,,,
利用网络传授犯罪方法、制作或者销售违禁物 品的，以（）罪论处。,帮助信息网络犯罪活动罪,非法利用信息网络罪,扰乱无线电管理秩序罪,非法侵入计算机系统罪,2,单选,3,2,法律法规,,,,,,
下列哪些行为构成侵犯公民个人信息罪（）。,出售或者提供踪迹信息，被他人用于犯罪,非法获取、出售他人通信内容、财产信息五十条以上的,非法获取、出售或者提供住宿信息、通信记录、健康生理信息、交易信息等其他可能影响人身、财产安全的公民个人信息五百条以上的,以上均构成,4,单选,3,2,法律法规,,,,,,
国家秘密的密级分为（）三级。,绝密、机密、秘密,机密、加密、秘密,绝密、加密、秘密,绝密、国家主席专属、秘密,1,单选,3,2,法律法规,,,,,,
根据《中华人民共和国保守国家秘密法》的相 关规定，下列哪些情形应当确定为国家秘密（）。,国家事务重大决策中的秘密事项；,国防建设和武装力量活动中的秘密事项；,外交和外事活动中的秘密事项以及对外承担保密义务的秘密事项；,以上均是,4,单选,3,2,法律法规,,,,,,
根据《中华人民共和国电子签名法》，法律、行政法规规定或者当事人约定数据电文需要确认收讫的，应当确认收讫。发件人收到收件人的(          )，数据电文视为已经收到。,收件时,发送时,收讫确认时,确认时,3,单选,3,2,法律法规,,,,,,
